month,group_id,segment,course_type,assigned_teacher,students_count,session_min,lessons_per_session_60min,sessions_per_week,sessions_per_month,lessons_60min_per_month,price_per_lesson_60min_usd,price_per_lesson_60min_uah,course_usd,rev_per_student_pm_usd,total_rev_usd,total_rev_uah,teacher_rate_60min_usd,teacher_cost_rate_usd,cac_model,cac_group_usd,cac_amortized_pm_usd,total_cac_pm_usd,contract_months,teacher_fixed_cost_usd,total_cost_usd,profit_usd,margin_pct,breakeven_students,profitability_color,revenue_usd
2025-04,G0001,B2B,Business Starter,T001,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,11.23,202.14,per_group,300.0,150.0,150.0,2,202.14,352.14,363.54,50.8,1.97,green,715.68
2025-04,G0002,B2B,Business C1,T002,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.03,88.24,per_group,300.0,150.0,150.0,2,88.24,238.24,768.56,76.3,1.18,green,1006.8
2025-04,G0003,B2B,Business Starter,T003,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,10.38,124.56,per_group,300.0,100.0,100.0,3,124.56,224.56,848.96,79.1,1.88,green,1073.52
2025-04,G0004,B2B,Business Starter,T004,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.75,105.0,per_group,300.0,100.0,100.0,3,105.0,205.0,749.24,78.5,1.72,green,954.24
2025-04,G0005,B2B,Business Starter,T005,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,10.25,123.0,per_group,300.0,100.0,100.0,3,123.0,223.0,254.12,53.3,1.87,green,477.12
2025-04,G0006,B2B,Business Starter,T006,5,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,894.6,39541.32,11.31,203.58,per_group,300.0,150.0,150.0,2,203.58,353.58,541.02,60.5,1.98,green,894.6
2025-04,G0007,B2B,Business Starter,T007,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.73,104.76,per_group,300.0,100.0,100.0,3,104.76,204.76,749.48,78.5,1.72,green,954.24
2025-04,G0008,B2B,Business C1,T008,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.68,93.44,per_group,300.0,150.0,150.0,2,93.44,243.44,763.36,75.8,1.21,green,1006.8
2025-04,G0009,B2B,Business C1,T009,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.08,80.64,per_group,300.0,150.0,150.0,2,80.64,230.64,1782.96,88.5,1.15,green,2013.6
2025-04,G0010,B2B,Business Starter,T010,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,8.59,103.08,per_group,300.0,100.0,100.0,3,103.08,203.08,870.44,81.1,1.7,green,1073.52
2025-04,G0011,B2B,Business C1,T011,6,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1208.16,53400.67,11.83,94.64,per_group,300.0,150.0,150.0,2,94.64,244.64,963.52,79.8,1.21,green,1208.16
2025-04,G0012,B2B,Business Starter,T012,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,10.42,125.04,per_group,300.0,100.0,100.0,3,125.04,225.04,967.76,81.1,1.89,green,1192.8
2025-04,G0013,B2B,Business Starter,T013,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,8.97,107.64,per_group,300.0,100.0,100.0,3,107.64,207.64,269.48,56.5,1.74,green,477.12
2025-04,G0014,B2B,Business Starter,T014,6,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,715.68,31633.06,11.13,133.56,per_group,300.0,100.0,100.0,3,133.56,233.56,482.12,67.4,1.96,green,715.68
2025-04,G0015,B2B,Business C1,T015,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.14,81.12,per_group,300.0,150.0,150.0,2,81.12,231.12,1782.48,88.5,1.15,green,2013.6
2025-04,G0016,B2B,Business C1,T016,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,10.22,81.76,per_group,300.0,150.0,150.0,2,81.76,231.76,1379.12,85.6,1.15,green,1610.88
2025-04,G0017,B2B,Business C1,T001,4,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1208.16,53400.67,11.23,134.76,per_group,300.0,150.0,150.0,2,134.76,284.76,923.4,76.4,0.94,green,1208.16
2025-04,G0018,B2B,Business C1,T002,10,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,3020.4,133501.68,11.03,132.36,per_group,300.0,150.0,150.0,2,132.36,282.36,2738.04,90.7,0.93,green,3020.4
2025-04,G0019,B2B,Business C1,T003,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,10.38,83.04,per_group,300.0,150.0,150.0,2,83.04,233.04,1377.84,85.5,1.16,green,1610.88
2025-04,G0020,B2B,Business Starter,T004,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,8.75,157.5,per_group,300.0,150.0,150.0,2,157.5,307.5,408.18,57.0,1.72,green,715.68
2025-04,G0021,B2B,Business Starter,T005,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,10.25,123.0,per_group,300.0,100.0,100.0,3,123.0,223.0,969.8,81.3,1.87,green,1192.8
2025-04,G0022,B2B,Business Starter,T006,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,11.31,135.72,per_group,300.0,100.0,100.0,3,135.72,235.72,957.08,80.2,1.98,green,1192.8
2025-04,G0023,B2B,Business Starter,T007,7,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,834.96,36905.23,8.73,104.76,per_group,300.0,100.0,100.0,3,104.76,204.76,630.2,75.5,1.72,green,834.96
2025-04,G0024,B2B,Business C1,T008,9,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1812.24,80101.01,11.68,93.44,per_group,300.0,150.0,150.0,2,93.44,243.44,1568.8,86.6,1.21,green,1812.24
2025-04,G0025,B2B,Business Starter,T009,6,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,715.68,31633.06,10.08,120.96,per_group,300.0,100.0,100.0,3,120.96,220.96,494.72,69.1,1.85,green,715.68
2025-04,G0026,B2B,Business Starter,T010,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,8.59,103.08,per_group,300.0,100.0,100.0,3,103.08,203.08,870.44,81.1,1.7,green,1073.52
2025-04,G0027,B2B,Business Starter,T011,8,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1431.36,63266.11,11.83,212.94,per_group,300.0,150.0,150.0,2,212.94,362.94,1068.42,74.6,2.03,green,1431.36
2025-04,G0028,B2B,Business Starter,T012,8,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1431.36,63266.11,10.42,187.56,per_group,300.0,150.0,150.0,2,187.56,337.56,1093.8,76.4,1.89,green,1431.36
2025-04,G0029,B2B,Business Starter,T013,5,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,596.4,26360.88,8.97,107.64,per_group,300.0,100.0,100.0,3,107.64,207.64,388.76,65.2,1.74,green,596.4
2025-04,G0030,B2B,Business C1,T014,6,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1812.24,80101.01,11.13,133.56,per_group,300.0,150.0,150.0,2,133.56,283.56,1528.68,84.4,0.94,green,1812.24
2025-04,G0031,B2C,IT Starter,T015,8,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,960.0,42432.0,10.14,121.68,per_student,400.0,133.33,133.33,3,121.68,255.01,704.99,73.4,2.13,green,960.0
2025-04,G0032,B2C,IT Starter,T016,4,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,480.0,21216.0,10.22,122.64,per_student,200.0,66.67,66.67,3,122.64,189.31,290.69,60.6,1.58,green,480.0
2025-04,G0033,B2C,IT Basic,T001,6,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1085.04,47958.77,11.23,134.76,per_student,300.0,75.0,75.0,4,134.76,209.76,875.28,80.7,1.16,green,1085.04
2025-04,G0034,B2C,IT Starter,T002,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,11.03,198.54,per_student,200.0,100.0,100.0,2,198.54,298.54,421.46,58.5,1.66,green,720.0
2025-04,G0035,B2C,IT Basic,T003,4,90,1.5,3,12,18.0,15.07,632.04,678.0,271.26,1085.04,47958.77,10.38,186.84,per_student,200.0,66.67,66.67,3,186.84,253.51,831.53,76.6,0.93,green,1085.04
