month,group_id,segment,course_type,assigned_teacher,students_count,session_min,lessons_per_session_60min,sessions_per_week,sessions_per_month,lessons_60min_per_month,price_per_lesson_60min_usd,price_per_lesson_60min_uah,course_usd,rev_per_student_pm_usd,total_rev_usd,total_rev_uah,teacher_rate_60min_usd,teacher_cost_rate_usd,cac_model,cac_group_usd,cac_amortized_pm_usd,total_cac_pm_usd,contract_months,teacher_fixed_cost_usd,total_cost_usd,profit_usd,margin_pct,breakeven_students,profitability_color
2025-04,G0001,B2B,Business Starter,T001,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,11.23,202.14,per_group,300.0,150.0,150.0,2,141.0,291.0,424.68,59.3,1.63,green
2025-04,G0002,B2B,Business C1,T002,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.03,88.24,per_group,300.0,150.0,150.0,2,177.33,327.33,679.47,67.5,1.63,green
2025-04,G0003,B2B,Business Starter,T003,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,10.38,124.56,per_group,300.0,100.0,100.0,3,231.0,331.0,742.52,69.2,2.77,green
2025-04,G0004,B2B,Business Starter,T004,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.75,105.0,per_group,300.0,100.0,100.0,3,183.33,283.33,670.91,70.3,2.38,green
2025-04,G0005,B2B,Business Starter,T005,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,10.25,123.0,per_group,300.0,100.0,100.0,3,160.33,260.33,216.79,45.4,2.18,green
2025-04,G0006,B2B,Business Starter,T006,5,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,894.6,39541.32,11.31,203.58,per_group,300.0,150.0,150.0,2,201.33,351.33,543.27,60.7,1.96,green
2025-04,G0007,B2B,Business Starter,T007,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.73,104.76,per_group,300.0,100.0,100.0,3,171.33,271.33,682.91,71.6,2.27,green
2025-04,G0008,B2B,Business C1,T008,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.68,93.44,per_group,300.0,150.0,150.0,2,162.0,312.0,694.8,69.0,1.55,green
2025-04,G0009,B2B,Business C1,T009,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.08,80.64,per_group,300.0,150.0,150.0,2,154.67,304.67,1708.93,84.9,1.51,green
2025-04,G0010,B2B,Business Starter,T010,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,8.59,103.08,per_group,300.0,100.0,100.0,3,226.33,326.33,747.19,69.6,2.74,green
2025-04,G0011,B2B,Business C1,T011,6,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1208.16,53400.67,11.83,94.64,per_group,300.0,150.0,150.0,2,303.33,453.33,754.83,62.5,2.25,green
2025-04,G0012,B2B,Business Starter,T012,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,10.42,125.04,per_group,300.0,100.0,100.0,3,288.67,388.67,804.13,67.4,3.26,green
2025-04,G0013,B2B,Business Starter,T013,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,8.97,107.64,per_group,300.0,100.0,100.0,3,315.67,415.67,61.45,12.9,3.48,orange
2025-04,G0014,B2B,Business Starter,T014,6,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,715.68,31633.06,11.13,133.56,per_group,300.0,100.0,100.0,3,450.5,550.5,165.18,23.1,4.62,green
2025-04,G0015,B2B,Business C1,T015,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.14,81.12,per_group,300.0,150.0,150.0,2,459.0,609.0,1404.6,69.8,3.02,green
2025-04,G0016,B2B,Business C1,T016,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,10.22,81.76,per_group,300.0,150.0,150.0,2,431.5,581.5,1029.38,63.9,2.89,green
2025-04,G0017,B2B,Business C1,T001,4,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1208.16,53400.67,11.23,134.76,per_group,300.0,150.0,150.0,2,141.0,425.76,782.4,64.8,1.46,green
2025-04,G0018,B2B,Business C1,T002,10,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,3020.4,133501.68,11.03,132.36,per_group,300.0,150.0,150.0,2,177.33,459.69,2560.71,84.8,1.58,green
2025-04,G0019,B2B,Business C1,T003,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,10.38,83.04,per_group,300.0,150.0,150.0,2,231.0,381.0,1229.88,76.3,1.89,green
2025-04,G0020,B2B,Business Starter,T004,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,8.75,157.5,per_group,300.0,150.0,150.0,2,183.33,333.33,382.35,53.4,1.86,green
2025-04,G0021,B2B,Business Starter,T005,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,10.25,123.0,per_group,300.0,100.0,100.0,3,160.33,260.33,932.47,78.2,2.18,green
2025-04,G0022,B2B,Business Starter,T006,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,11.31,135.72,per_group,300.0,100.0,100.0,3,201.33,301.33,891.47,74.7,2.53,green
2025-04,G0023,B2B,Business Starter,T007,7,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,834.96,36905.23,8.73,104.76,per_group,300.0,100.0,100.0,3,171.33,271.33,563.63,67.5,2.27,green
2025-04,G0024,B2B,Business C1,T008,9,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1812.24,80101.01,11.68,93.44,per_group,300.0,150.0,150.0,2,162.0,312.0,1500.24,82.8,1.55,green
2025-04,G0025,B2B,Business Starter,T009,6,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,715.68,31633.06,10.08,120.96,per_group,300.0,100.0,100.0,3,154.67,254.67,461.01,64.4,2.14,green
2025-04,G0026,B2B,Business Starter,T010,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,8.59,103.08,per_group,300.0,100.0,100.0,3,226.33,326.33,747.19,69.6,2.74,green
2025-04,G0027,B2B,Business Starter,T011,8,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1431.36,63266.11,11.83,212.94,per_group,300.0,150.0,150.0,2,303.33,453.33,978.03,68.3,2.53,green
2025-04,G0028,B2B,Business Starter,T012,8,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1431.36,63266.11,10.42,187.56,per_group,300.0,150.0,150.0,2,288.67,438.67,992.69,69.4,2.45,green
2025-04,G0029,B2B,Business Starter,T013,5,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,596.4,26360.88,8.97,107.64,per_group,300.0,100.0,100.0,3,315.67,415.67,180.73,30.3,3.48,green
2025-04,G0030,B2B,Business C1,T014,6,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1812.24,80101.01,11.13,133.56,per_group,300.0,150.0,150.0,2,450.5,734.06,1078.18,59.5,2.48,green
2025-04,G0031,B2C,IT Starter,T015,8,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,960.0,42432.0,10.14,121.68,per_student,400.0,133.33,133.33,3,459.0,592.33,367.67,38.3,4.94,green
2025-04,G0032,B2C,IT Starter,T016,4,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,480.0,21216.0,10.22,122.64,per_student,200.0,66.67,66.67,3,431.5,498.17,-18.17,-3.8,4.15,red
2025-04,G0033,B2C,IT Basic,T001,6,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1085.04,47958.77,11.23,134.76,per_student,300.0,75.0,75.0,4,141.0,216.0,869.04,80.1,1.19,green
2025-04,G0034,B2C,IT Starter,T002,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,11.03,198.54,per_student,200.0,100.0,100.0,2,177.33,277.33,442.67,61.5,1.54,green
