month,teacher_id,type,status,max_hours_month,planned_hours,actual_hours,hours_diff,underfulfillment_reason,utilization_pct,norm_lessons_60min_month,actual_lessons_60min,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,salary_via_rate_usd,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-04,T001,part-time,active,70,54,52,0,nan,74.3,40,52,11.23,423.0,18697.0,449.2,21.15,4.23,25.38,935.0,187.0,1122.0,19.28,800.0,467.66,20619.0
2025-04,T002,part-time,active,70,65,64,0,nan,91.4,40,64,11.03,532.0,23514.0,441.2,26.6,5.32,31.92,1176.0,235.0,1411.0,19.28,800.0,583.2,25725.0
2025-04,T003,part-time,active,70,61,59,0,nan,84.3,40,59,10.38,693.0,30631.0,415.2,34.65,6.93,41.58,1532.0,306.0,1838.0,19.28,800.0,753.86,33269.0
2025-04,T004,part-time,active,70,61,60,0,nan,85.7,40,60,8.75,550.0,24310.0,350.0,27.5,5.5,33.0,1216.0,243.0,1459.0,19.28,800.0,602.28,26569.0
2025-04,T005,part-time,active,70,59,57,0,nan,81.4,40,57,10.25,481.0,21260.0,410.0,24.05,4.81,28.86,1063.0,213.0,1276.0,19.28,800.0,529.14,23336.0
2025-04,T006,part-time,active,70,68,66,0,nan,94.3,40,66,11.31,604.0,26697.0,452.4,30.2,6.04,36.24,1335.0,267.0,1602.0,19.28,800.0,659.52,29099.0
2025-04,T007,part-time,active,70,69,52,-17,Хвороба (лікарняний),74.3,40,52,8.73,514.0,22719.0,349.2,25.7,5.14,30.84,1136.0,227.0,1363.0,19.28,800.0,564.12,24882.0
2025-04,T008,part-time,active,70,69,67,0,nan,95.7,40,67,11.68,486.0,21481.0,467.2,24.3,4.86,29.16,1074.0,215.0,1289.0,19.28,800.0,534.44,23570.0
2025-04,T009,part-time,active,70,68,66,0,nan,94.3,40,66,10.08,464.0,20509.0,403.2,23.2,4.64,27.84,1025.0,205.0,1230.0,19.28,800.0,511.12,22539.0
2025-04,T010,part-time,active,70,66,64,0,nan,91.4,40,64,8.59,679.0,30012.0,343.6,33.95,6.79,40.74,1501.0,300.0,1801.0,19.28,800.0,739.02,32613.0
2025-04,T011,full-time,active,100,80,77,0,nan,77.0,60,77,11.83,910.0,40222.0,709.8,45.5,9.1,54.6,2011.0,402.0,2413.0,19.28,800.0,983.88,43435.0
2025-04,T012,full-time,active,100,87,86,0,nan,86.0,60,86,10.42,866.0,38277.0,625.2,43.3,8.66,51.96,1914.0,383.0,2297.0,19.28,800.0,937.24,41374.0
