month,teacher_id,type,status,norm_lessons_60min_month,actual_lessons_60min,hours_diff,deviation_type,deviation_comment,utilization_pct,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-04,T001,part-time,active,40,40,0,,,100.0,11.23,449.2,19855.0,22.46,4.49,26.95,993,199,1192,19.28,800.0,495.43,21847
2025-04,T002,part-time,active,40,40,0,,,100.0,11.03,441.2,19501.0,22.06,4.41,26.47,975,195,1170,19.28,800.0,486.95,21471
2025-04,T003,part-time,active,40,40,0,,,100.0,10.38,415.2,18352.0,20.76,4.15,24.91,918,184,1102,19.28,800.0,459.39,20254
2025-04,T004,part-time,active,40,40,0,,,100.0,8.75,350.0,15470.0,17.5,3.5,21.0,774,155,929,19.28,800.0,390.28,17199
2025-04,T005,part-time,active,40,40,0,,,100.0,10.25,410.0,18122.0,20.5,4.1,24.6,906,181,1087,19.28,800.0,453.88,20009
2025-04,T006,part-time,active,40,40,0,,,100.0,11.31,452.4,19996.0,22.62,4.52,27.14,1000,200,1200,19.28,800.0,498.82,21996
2025-04,T007,part-time,active,40,32,-8,under,Хвороба (лікарняний),80.0,8.73,279.36,12348.0,13.97,2.79,16.76,617,123,740,19.28,800.0,315.4,13888
2025-04,T008,part-time,active,40,40,0,,,100.0,11.68,467.2,20650.0,23.36,4.67,28.03,1032,206,1238,19.28,800.0,514.51,22688
2025-04,T009,part-time,active,40,40,0,,,100.0,10.08,403.2,17821.0,20.16,4.03,24.19,891,178,1069,19.28,800.0,446.67,19690
2025-04,T010,part-time,active,40,40,0,,,100.0,8.59,343.6,15187.0,17.18,3.44,20.62,759,152,911,19.28,800.0,383.5,16898
2025-04,T011,full-time,active,60,60,0,,,100.0,11.83,709.8,31373.0,35.49,7.1,42.59,1569,314,1883,19.28,800.0,771.67,34056
2025-04,T012,full-time,active,60,60,0,,,100.0,10.42,625.2,27634.0,31.26,6.25,37.51,1382,276,1658,19.28,800.0,681.99,30092
2025-04,T013,full-time,active,60,60,0,,,100.0,8.97,538.2,23788.0,26.91,5.38,32.29,1189,238,1427,19.28,800.0,589.77,26015
2025-04,T014,full-time,active,60,60,0,,,100.0,11.13,667.8,29517.0,33.39,6.68,40.07,1476,295,1771,19.28,800.0,727.15,32088
2025-04,T015,full-time,active,60,60,0,,,100.0,10.14,608.4,26891.0,30.42,6.08,36.5,1345,269,1614,19.28,800.0,664.18,29305
2025-04,T016,full-time,active,60,60,0,,,100.0,10.22,613.2,27103.0,30.66,6.13,36.79,1355,271,1626,19.28,800.0,669.27,29529
2025-05,T001,part-time,active,40,40,0,,,100.0,11.23,449.2,19855.0,22.46,4.49,26.95,993,199,1192,19.28,800.0,495.43,21847
2025-05,T002,part-time,active,40,40,0,,,100.0,11.03,441.2,19501.0,22.06,4.41,26.47,975,195,1170,19.28,800.0,486.95,21471
2025-05,T003,part-time,active,40,35,-5,under,Особисті обставини,87.5,10.38,363.3,16058.0,18.17,3.63,21.8,803,161,964,19.28,800.0,404.38,17822
2025-05,T004,part-time,active,40,40,0,,,100.0,8.75,350.0,15470.0,17.5,3.5,21.0,774,155,929,19.28,800.0,390.28,17199
2025-05,T005,part-time,active,40,40,0,,,100.0,10.25,410.0,18122.0,20.5,4.1,24.6,906,181,1087,19.28,800.0,453.88,20009
2025-05,T006,part-time,active,40,40,0,,,100.0,11.31,452.4,19996.0,22.62,4.52,27.14,1000,200,1200,19.28,800.0,498.82,21996
2025-05,T007,part-time,active,40,40,0,,,100.0,8.73,349.2,15435.0,17.46,3.49,20.95,772,154,926,19.28,800.0,389.43,17161
2025-05,T008,part-time,active,40,40,0,,,100.0,11.68,467.2,20650.0,23.36,4.67,28.03,1032,206,1238,19.28,800.0,514.51,22688
2025-05,T009,part-time,active,40,40,0,,,100.0,10.08,403.2,17821.0,20.16,4.03,24.19,891,178,1069,19.28,800.0,446.67,19690
2025-05,T010,part-time,active,40,40,0,,,100.0,8.59,343.6,15187.0,17.18,3.44,20.62,759,152,911,19.28,800.0,383.5,16898
2025-05,T011,full-time,active,60,63,3,over,Додаткові заняття за запитом студентів,105.0,11.83,745.29,32942.0,37.26,7.45,44.71,1647,329,1976,19.28,800.0,809.28,35718
2025-05,T012,full-time,active,60,60,0,,,100.0,10.42,625.2,27634.0,31.26,6.25,37.51,1382,276,1658,19.28,800.0,681.99,30092
2025-05,T013,full-time,active,60,60,0,,,100.0,8.97,538.2,23788.0,26.91,5.38,32.29,1189,238,1427,19.28,800.0,589.77,26015
2025-05,T014,full-time,active,60,60,0,,,100.0,11.13,667.8,29517.0,33.39,6.68,40.07,1476,295,1771,19.28,800.0,727.15,32088
2025-05,T015,full-time,active,60,60,0,,,100.0,10.14,608.4,26891.0,30.42,6.08,36.5,1345,269,1614,19.28,800.0,664.18,29305
2025-05,T016,full-time,active,60,60,0,,,100.0,10.22,613.2,27103.0,30.66,6.13,36.79,1355,271,1626,19.28,800.0,669.27,29529
2025-05,T017,part-time,new,40,40,0,,,100.0,10.17,406.8,17981.0,20.34,4.07,24.41,899,180,1079,19.28,800.0,450.49,19860
2025-05,T018,part-time,new,40,40,0,,,100.0,11.43,457.2,20208.0,22.86,4.57,27.43,1010,202,1212,19.28,800.0,503.91,22220
2025-05,T019,full-time,new,60,60,0,,,100.0,9.6,576.0,25459.0,28.8,5.76,34.56,1273,255,1528,19.28,800.0,629.84,27787
2025-05,T020,full-time,new,60,60,0,,,100.0,9.47,568.2,25114.0,28.41,5.68,34.09,1256,251,1507,19.28,800.0,621.57,27421
