month,teacher_id,type,status,max_hours_month,norm_lessons_60min_month,actual_lessons_60min,hours_diff,deviation_type,deviation_comment,utilization_pct,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-04,T001,part-time,active,70,70,58,-12,,,82.86,10.5,609.0,26704.65,30.45,6.09,36.54,1335,267,1602,19.28,845.43,664.82,29152
2025-04,T002,part-time,active,70,70,58,-12,,,82.86,10.8,626.4,27467.64,31.32,6.26,37.58,1373,274,1647,19.28,845.43,683.26,29960
2025-04,T003,part-time,active,70,70,58,-12,,,82.86,10.2,591.6,25941.66,29.58,5.92,35.5,1297,259,1556,19.28,845.43,646.38,28343
2025-04,T004,part-time,active,70,70,78,8,over,Понаднормове навантаження,111.43,9.9,772.2,33860.97,38.61,7.72,46.33,1693,338,2031,19.28,845.43,837.81,36737
2025-04,T005,part-time,active,70,70,58,-12,,,82.86,10.0,580.0,25433.0,29.0,5.8,34.8,1271,254,1525,19.28,845.43,634.08,27804
2025-04,T006,part-time,active,70,70,58,-12,,,82.86,11.0,638.0,27976.3,31.9,6.38,38.28,1398,279,1678,19.28,845.43,695.56,30500
2025-04,T007,part-time,active,70,70,58,-12,,,82.86,10.3,597.4,26195.99,29.87,5.97,35.84,1309,261,1571,19.28,845.43,652.52,28613
2025-04,T008,part-time,active,70,70,58,-12,,,82.86,9.8,568.4,24924.34,28.42,5.68,34.1,1246,249,1495,19.28,845.43,621.78,27265
2025-04,T009,part-time,active,70,70,58,-12,,,82.86,10.6,614.8,26958.98,30.74,6.15,36.89,1347,269,1617,19.28,845.43,670.97,29422
2025-04,T010,part-time,active,70,70,39,-31,,,55.71,10.1,393.9,17272.51,19.7,3.94,23.64,863,172,1036,19.28,845.43,436.82,19154
2025-04,T011,full-time,active,100,100,65,-35,,,65.0,12.5,812.5,35628.12,40.62,8.12,48.74,1781,356,2137,19.28,845.43,880.52,38610
2025-04,T012,full-time,active,100,100,65,-35,,,65.0,12.0,780.0,34203.0,39.0,7.8,46.8,1710,342,2052,19.28,845.43,846.08,37100
2025-04,T013,full-time,active,100,100,39,-61,under,Нижче норми,39.0,11.8,460.2,20179.77,23.01,4.6,27.61,1008,201,1210,19.28,845.43,507.09,22235
2025-04,T014,full-time,active,100,100,54,-46,under,Нижче норми,54.0,12.2,658.8,28888.38,32.94,6.59,39.53,1444,288,1733,19.28,845.43,717.61,31467
2025-04,T015,full-time,active,100,100,26,-74,under,Нижче норми,26.0,11.5,299.0,13111.15,14.95,2.99,17.94,655,131,786,19.28,845.43,336.22,14743
2025-04,T016,full-time,active,100,100,54,-46,under,Нижче норми,54.0,11.9,642.6,28178.01,32.13,6.43,38.56,1408,281,1690,19.28,845.43,700.44,30714
2025-05,T001,part-time,active,70,70,58,-12,,,82.86,10.5,609.0,26704.65,30.45,6.09,36.54,1335,267,1602,19.28,845.43,664.82,29152
2025-05,T002,part-time,active,70,70,58,-12,,,82.86,10.8,626.4,27467.64,31.32,6.26,37.58,1373,274,1647,19.28,845.43,683.26,29960
2025-05,T003,part-time,active,70,70,58,-12,,,82.86,10.2,591.6,25941.66,29.58,5.92,35.5,1297,259,1556,19.28,845.43,646.38,28343
2025-05,T004,part-time,active,70,70,78,8,over,Понаднормове навантаження,111.43,9.9,772.2,33860.97,38.61,7.72,46.33,1693,338,2031,19.28,845.43,837.81,36737
2025-05,T005,part-time,active,70,70,58,-12,,,82.86,10.0,580.0,25433.0,29.0,5.8,34.8,1271,254,1525,19.28,845.43,634.08,27804
2025-05,T006,part-time,active,70,70,58,-12,,,82.86,11.0,638.0,27976.3,31.9,6.38,38.28,1398,279,1678,19.28,845.43,695.56,30500
2025-05,T007,part-time,active,70,70,58,-12,,,82.86,10.3,597.4,26195.99,29.87,5.97,35.84,1309,261,1571,19.28,845.43,652.52,28613
2025-05,T008,part-time,active,70,70,58,-12,,,82.86,9.8,568.4,24924.34,28.42,5.68,34.1,1246,249,1495,19.28,845.43,621.78,27265
2025-05,T009,part-time,active,70,70,58,-12,,,82.86,10.6,614.8,26958.98,30.74,6.15,36.89,1347,269,1617,19.28,845.43,670.97,29422
2025-05,T010,part-time,active,70,70,58,-12,,,82.86,10.1,585.8,25687.33,29.29,5.86,35.15,1284,256,1541,19.28,845.43,640.23,28074
2025-05,T011,full-time,active,100,100,104,4,over,Понаднормове навантаження,104.0,12.5,1300.0,57005.0,65.0,13.0,78.0,2850,570,3420,19.28,845.43,1397.28,61270
2025-05,T012,full-time,active,100,100,65,-35,,,65.0,12.0,780.0,34203.0,39.0,7.8,46.8,1710,342,2052,19.28,845.43,846.08,37100
2025-05,T013,full-time,pause,100,100,0,-100,under,Тимчасово на паузі,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0,0,0,19.28,845.43,19.28,845
2025-05,T014,full-time,active,100,100,54,-46,under,Нижче норми,54.0,12.2,658.8,28888.38,32.94,6.59,39.53,1444,288,1733,19.28,845.43,717.61,31467
2025-05,T015,full-time,fired,100,100,0,-100,under,Припинив співпрацю,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0,0,0,19.28,845.43,19.28,845
2025-05,T016,full-time,active,100,100,68,-32,,,68.0,11.9,809.2,35483.42,40.46,8.09,48.55,1774,354,2128,19.28,845.43,877.03,38457
2025-05,T017,part-time,active,70,70,39,-31,,,55.71,10.4,405.6,17785.56,20.28,4.06,24.34,889,178,1067,19.28,845.43,449.22,19698
2025-05,T018,part-time,active,70,70,33,-37,under,Нижче норми,47.14,9.7,320.1,14036.39,16.01,3.2,19.21,702,140,842,19.28,845.43,358.59,15724
2025-05,T019,full-time,active,100,100,52,-48,under,Нижче норми,52.0,12.1,629.2,27590.42,31.46,6.29,37.75,1379,275,1655,19.28,845.43,686.23,30091
2025-05,T020,full-time,active,100,100,26,-74,under,Нижче норми,26.0,11.7,304.2,13339.17,15.21,3.04,18.25,666,133,800,19.28,845.43,341.73,14984
