month;teacher_id;type;status;max_hours_month;planned_hours;actual_hours;hours_diff;underfulfillment_reason;utilization_pct;norm_lessons_60min_month;actual_lessons_60min;rate_per_lesson_60min_usd;salary_usd_month;salary_uah_month;salary_via_rate_usd
2025-04;T001;part-time;active;70;54;52;0;;74,3;40;52;11,23;423,0;18697,0;449,2
2025-04;T002;part-time;active;70;65;64;0;;91,4;40;64;11,03;532,0;23514,0;441,2
2025-04;T003;part-time;active;70;61;59;0;;84,3;40;59;10,38;693,0;30631,0;415,2
2025-04;T004;part-time;active;70;61;60;0;;85,7;40;60;8,75;550,0;24310,0;350,0
2025-04;T005;part-time;active;70;59;57;0;;81,4;40;57;10,25;481,0;21260,0;410,0
2025-04;T006;part-time;active;70;68;66;0;;94,3;40;66;11,31;604,0;26697,0;452,4
2025-04;T007;part-time;active;70;69;52;-17;Хвороба (лікарняний);74,3;40;52;8,73;514,0;22719,0;349,2
2025-04;T008;part-time;active;70;69;67;0;;95,7;40;67;11,68;486,0;21481,0;467,2
2025-04;T009;part-time;active;70;68;66;0;;94,3;40;66;10,08;464,0;20509,0;403,2
2025-04;T010;part-time;active;70;66;64;0;;91,4;40;64;8,59;679,0;30012,0;343,6
2025-04;T011;full-time;active;100;80;77;0;;77,0;60;77;11,83;910,0;40222,0;709,8
2025-04;T012;full-time;active;100;87;86;0;;86,0;60;86;10,42;866,0;38277,0;625,2
2025-04;T013;full-time;active;100;94;92;0;;92,0;60;92;8,97;947,0;41857,0;538,2
2025-04;T014;full-time;active;100;82;79;0;;79,0;60;79;11,13;901,0;39824,0;667,8
2025-04;T015;full-time;active;100;91;89;0;;89,0;60;89;10,14;918,0;40576,0;608,4
2025-04;T016;full-time;active;100;93;93;0;;93,0;60;93;10,22;863,0;38145,0;613,2
2025-05;T001;part-time;active;70;56;54;0;;77,1;40;54;11,23;423,0;18697,0;449,2
2025-05;T002;part-time;active;70;60;59;0;;84,3;40;59;11,03;532,0;23514,0;441,2
2025-05;T003;part-time;active;70;60;37;-23;Хвороба (лікарняний);52,9;40;37;10,38;693,0;30631,0;415,2
2025-05;T004;part-time;active;70;65;64;0;;91,4;40;64;8,75;550,0;24310,0;350,0
2025-05;T005;part-time;active;70;69;66;0;;94,3;40;66;10,25;481,0;21260,0;410,0
2025-05;T006;part-time;active;70;58;56;0;;80,0;40;56;11,31;604,0;26697,0;452,4
2025-05;T007;part-time;active;70;69;68;0;;97,1;40;68;8,73;514,0;22719,0;349,2
2025-05;T008;part-time;active;70;61;58;0;;82,9;40;58;11,68;486,0;21481,0;467,2
2025-05;T009;part-time;active;70;58;57;0;;81,4;40;57;10,08;464,0;20509,0;403,2
2025-05;T010;part-time;active;70;61;59;0;;84,3;40;59;8,59;679,0;30012,0;343,6
2025-05;T011;full-time;active;100;83;80;0;;80,0;60;80;11,83;910,0;40222,0;709,8
2025-05;T012;full-time;active;100;85;84;0;;84,0;60;84;10,42;866,0;38277,0;625,2
2025-05;T013;full-time;active;100;95;92;0;;92,0;60;92;8,97;947,0;41857,0;538,2
2025-05;T014;full-time;active;100;94;92;0;;92,0;60;92;11,13;901,0;39824,0;667,8
2025-05;T015;full-time;active;100;95;90;0;;90,0;60;90;10,14;918,0;40576,0;608,4
2025-05;T016;full-time;active;100;97;94;0;;94,0;60;94;10,22;863,0;38145,0;613,2
2025-05;T017;part-time;new;70;62;59;0;;84,3;40;59;10,17;512,0;22630,0;406,8
2025-05;T018;part-time;new;70;57;55;0;;78,6;40;55;11,43;510,0;22542,0;457,2
2025-05;T019;full-time;new;100;90;88;0;;88,0;60;88;9,6;930,0;41106,0;576,0
2025-05;T020;full-time;new;100;85;84;0;;84,0;60;84;9,47;907,0;40089,0;568,2
